"Generation","Time","cores","pause"
60,3599.02467417717,"3","2"
61,3660.16973304749,"3","2"
62,3713.13640904427,"3","2"
63,3772.1898419857,"3","2"
64,3831.07613110542,"3","2"
65,3886.08868002892,"3","2"
66,3945.18245816231,"3","2"
67,4000.29272508621,"3","2"
68,4055.47533917427,"3","2"
69,4114.65516805649,"3","2"
70,4173.75540304184,"3","2"
71,4235.04899716377,"3","2"
72,4290.60266518593,"3","2"
73,4343.74062919617,"3","2"
74,4401.68984508514,"3","2"
75,4457.32288408279,"3","2"
76,4512.72663998604,"3","2"
77,4570.30956315994,"3","2"
78,4631.7515130043,"3","2"
79,4690.82958006859,"3","2"
80,4749.91956019402,"3","2"
81,4807.02441906929,"3","2"
82,4864.09527802467,"3","2"
83,4919.17352819443,"3","2"
84,4976.33708405495,"3","2"
85,5037.77251219749,"3","2"
86,5097.27064609528,"3","2"
87,5144.25525903702,"3","2"
88,5201.4226629734,"3","2"
89,5258.92069196701,"3","2"
90,5316.05111408234,"3","2"
91,5373.34182405472,"3","2"
92,5434.49548697472,"3","2"
93,5495.8055331707,"3","2"
94,5551.0268611908,"3","2"
95,5604.5463039875,"3","2"
96,5657.55757117271,"3","2"
97,5714.72262907028,"3","2"
98,5771.83544707298,"3","2"
99,5827.0838971138,"3","2"
100,5888.29941010475,"3","2"
1,5.40431094169617,"4","0.01"
2,6.11919689178467,"4","0.01"
3,6.61579298973083,"4","0.01"
4,7.18302583694458,"4","0.01"
5,8.03121900558472,"4","0.01"
6,8.70525693893433,"4","0.01"
7,9.27594995498657,"4","0.01"
8,10.2052597999573,"4","0.01"
9,11.1063477993011,"4","0.01"
10,12.0161988735199,"4","0.01"
